userId,movieId,tag,title,Directors,Principal,runtimeMinutes,category_Adventure,category_Action,category_Crime,category_Thriller,category_Animation,category_Children,category_Comedy,category_Fantasy,category_Romance,note
49212,5266,718,6904,728,1896,112,0,0,0,1,0,0,0,0,0,3
100366,5507,11,10305,2870,4011,124,0,1,1,1,0,0,0,0,0,5
4084,1095,207,3664,1447,59,100,0,0,0,0,0,0,0,0,0,9
38899,2396,652,8162,1748,1431,123,0,0,0,0,0,0,1,0,1,9
10560,3087,140,8024,2825,409,101,0,0,0,0,0,0,1,1,1,6
10012,1370,314,2539,2807,518,124,1,1,0,1,0,0,0,0,0,6
54978,2395,519,7862,3510,1730,93,0,0,0,0,0,0,1,0,0,9
114624,1617,371,5158,622,2232,138,0,0,1,1,0,0,0,0,0,9
133329,2424,615,10235,2542,3887,119,0,0,0,0,0,0,1,0,1,6
15720,434,314,1909,2807,3735,113,1,1,0,1,0,0,0,0,0,4
120948,3006,754,4667,2375,3428,157,0,0,0,1,0,0,0,0,0,8
131651,1219,352,7350,108,253,109,0,0,1,0,0,0,0,0,0,8
83275,919,797,10119,3610,2058,102,1,0,0,0,0,1,0,1,0,9
51703,1597,163,2038,2825,2681,135,0,0,0,1,0,0,0,0,1,9
4222,59315,707,4735,1795,3321,126,1,1,0,0,0,0,0,0,0,8
43657,1358,531,8373,318,415,135,0,0,0,0,0,0,0,0,0,7
116302,1961,537,7456,260,1049,133,0,0,0,0,0,0,0,0,0,6
128203,6711,431,5585,3161,409,102,0,0,0,0,0,0,1,0,1,7
95262,6537,290,9052,1828,277,109,1,1,0,0,0,0,0,0,0,7
134857,2407,29,1943,2988,1007,117,0,0,0,0,0,0,1,0,0,7
47542,4321,462,1867,2992,419,113,0,0,0,0,0,0,1,0,0,5
116127,2391,327,8305,3047,411,121,0,0,1,1,0,0,0,0,0,7
78308,1573,11,3044,1790,1984,138,0,1,1,1,0,0,0,0,0,1
61696,2616,68,2533,3504,4052,105,0,1,1,0,0,0,0,0,0,7
13964,11,576,425,2878,2717,114,0,0,0,0,0,0,1,0,1,7
12618,733,314,7751,2338,3531,136,1,1,0,1,0,0,0,0,0,6
14280,1288,612,9201,2878,3304,82,0,0,0,0,0,0,1,0,0,3
32717,1997,361,3003,3535,1131,122,0,0,0,0,0,0,0,0,0,7
76437,3752,231,5915,3610,1863,116,1,0,0,0,0,0,1,0,0,4
125270,1527,291,3180,2130,518,126,1,1,0,0,0,0,1,0,0,7
49817,858,280,3691,1022,2582,175,0,0,1,0,0,0,0,0,0,9
62375,2791,687,281,3610,3329,88,0,0,0,0,0,0,1,0,0,5
29575,2490,776,6987,383,2681,100,0,1,0,1,0,0,0,0,0,4
101165,2353,162,2897,3437,4082,132,0,1,0,1,0,0,0,0,0,4
120572,5464,265,7721,3043,3887,117,0,0,1,0,0,0,0,0,0,6
105040,32,290,9512,3316,518,129,0,0,0,1,0,0,0,0,0,7
49817,1387,654,4831,3248,3416,124,0,1,0,0,0,0,0,0,0,8
51558,104,312,3981,811,26,92,0,0,0,0,0,0,1,0,0,6
12239,589,290,9051,1436,277,137,0,1,0,0,0,0,0,0,0,2
19228,1234,161,8713,1160,3073,129,0,0,1,0,0,0,1,0,0,9
96225,110,349,1365,2321,2681,178,0,1,0,0,0,0,0,0,0,7
96225,1222,82,3480,3177,2646,116,0,0,0,0,0,0,0,0,0,7
75469,6323,756,4522,1463,1942,90,0,0,1,1,0,0,0,0,0,7
70379,1198,19,7450,3248,1455,115,1,1,0,0,0,0,0,0,0,9
35227,485,48,5219,1753,277,130,1,1,0,0,0,0,1,1,0,5
128354,858,280,3691,1022,2582,175,0,0,1,0,0,0,0,0,0,9
67283,1084,530,1274,240,4052,111,0,0,1,0,0,0,0,0,0,7
62762,2329,592,408,3432,1094,119,0,0,1,0,0,0,0,0,0,5
83823,5989,74,1682,3248,2378,141,0,0,1,0,0,0,0,0,0,6
132747,1556,171,8540,1499,3476,121,0,1,0,1,0,0,0,0,1,3
51199,5299,615,6321,1683,2913,95,0,0,0,0,0,0,1,0,1,7
131484,3499,806,6074,2878,1631,107,0,0,0,1,0,0,0,0,0,7
40008,6,174,4079,2375,59,170,0,1,1,1,0,0,0,0,0,7
113181,1610,741,4414,1753,3531,135,1,1,0,1,0,0,0,0,0,7
97141,4855,773,2560,3610,744,102,0,1,1,1,0,0,0,0,0,9
40483,5378,676,8634,1149,1463,142,1,1,0,0,0,0,0,0,0,3
133811,1573,11,3044,1790,1984,138,0,1,1,1,0,0,0,0,0,9
75678,1556,171,8540,1499,3476,121,0,1,0,1,0,0,0,0,1,3
5843,2701,71,10055,263,4082,106,0,1,0,0,0,0,1,0,0,4
80886,2455,732,3298,723,1777,96,0,0,0,1,0,0,0,0,0,7
122380,592,193,836,3351,2733,126,0,1,1,1,0,0,0,0,0,5
90525,377,314,8539,1499,2169,116,0,1,0,1,0,0,0,0,1,7
104063,8644,610,4502,94,4082,115,1,1,0,1,0,0,0,0,0,6
72517,4370,611,159,3248,1440,146,1,0,0,0,0,0,0,0,0,7
131961,4643,604,7140,3351,2574,120,1,1,0,0,0,0,0,0,0,0
23173,3717,121,3732,836,2931,118,0,1,1,0,0,0,0,0,0,3
128527,1580,29,5963,263,3907,98,0,1,0,0,0,0,1,0,0,7
67075,3081,199,8369,3351,1989,105,0,0,0,0,0,0,0,1,1,2
52225,2,19,4937,1665,3363,104,1,0,0,0,0,1,0,1,0,4
92516,3039,153,9392,1741,1070,116,0,0,0,0,0,0,1,0,0,8
67346,2640,707,8853,2825,709,143,1,1,0,0,0,0,0,0,0,6
62340,50,538,9670,420,2232,106,0,0,1,1,0,0,0,0,0,9
768,4973,370,391,1546,301,122,0,0,0,0,0,0,1,0,1,6
124460,2916,291,9364,2639,277,113,1,1,0,1,0,0,0,0,0,5
44882,1968,731,1375,1732,1142,97,0,0,0,0,0,0,1,0,0,5
12490,2409,268,7763,3284,3735,119,0,1,0,0,0,0,0,0,0,7
69662,260,676,8636,1149,2565,121,1,1,0,0,0,0,0,0,0,8
123606,4973,370,391,1546,301,122,0,0,0,0,0,0,1,0,1,7
49817,3052,772,2609,1981,349,130,1,0,0,0,0,0,1,1,0,5
119531,2000,314,5352,2825,2681,109,0,1,1,0,0,0,1,0,0,5
107356,5952,753,5554,2695,1109,179,1,0,0,0,0,0,0,1,0,9
82211,1275,373,4182,3021,703,116,1,1,0,0,0,0,0,1,0,7
118754,1035,487,8503,2950,2079,172,0,0,0,0,0,0,0,0,1,5
43188,6539,551,7122,1206,1989,143,1,1,0,0,0,0,1,1,0,4
50603,3994,713,9586,2155,518,106,0,0,0,0,0,0,0,0,0,7
88527,349,741,1901,2744,1455,141,0,1,1,1,0,0,0,0,0,9
15529,5060,311,5663,2888,1020,116,0,0,0,0,0,0,1,0,0,5
116298,5388,563,4672,564,59,118,0,1,1,1,0,0,0,0,0,9
2657,32587,68,8310,3610,2788,124,0,1,1,1,0,0,0,0,0,8
23311,4734,772,4835,1981,1724,104,1,0,0,0,0,0,1,0,0,0
99781,1610,741,4414,1753,3531,135,1,1,0,1,0,0,0,0,0,7
38251,3623,11,6091,1790,3882,123,1,1,0,1,0,0,0,0,0,2
100371,1358,531,8373,318,415,135,0,0,0,0,0,0,0,0,0,8
99871,2174,24,927,3351,75,92,0,0,0,0,0,0,1,1,0,7
118106,1917,243,578,2338,518,151,0,1,0,1,0,0,0,0,1,3
24816,3897,612,366,439,418,122,0,0,0,0,0,0,0,0,0,9
44241,5377,73,176,3610,1529,101,0,0,0,0,0,0,1,0,1,8
15720,4034,230,9393,3247,2717,147,0,0,1,1,0,0,0,0,0,6
80361,6711,431,5585,3161,409,102,0,0,0,0,0,0,1,0,1,5
126134,1201,331,3757,3111,744,161,1,1,0,0,0,0,0,0,0,5
35227,4878,738,2635,2834,1619,113,0,0,0,1,0,0,0,0,0,1
44296,8874,107,8185,902,3621,99,0,0,0,0,0,0,1,0,0,8
28771,4993,344,5552,2695,1109,178,1,0,0,0,0,0,0,1,0,8
18415,788,153,6653,3413,1070,95,0,0,0,0,0,0,1,1,1,5
3618,3897,612,366,439,418,122,0,0,0,0,0,0,0,0,0,5
38267,1302,66,3176,2725,2219,107,0,0,0,0,0,1,0,1,0,7
10616,1393,538,4849,439,3882,139,0,0,0,0,0,0,0,0,1,8
48904,2657,181,7762,1639,3840,100,0,0,0,0,0,0,1,0,0,7
12973,2167,765,1163,3206,4068,120,0,1,0,1,0,0,0,0,0,7
5216,8961,707,4621,356,785,115,1,1,0,0,1,1,1,0,0,7
132039,165,11,2540,1753,518,128,0,1,1,1,0,0,0,0,0,9
98494,32587,68,8310,3610,2788,124,0,1,1,1,0,0,0,0,0,3
12793,58559,193,2289,564,683,152,0,1,1,0,0,0,0,0,0,7
25478,3752,231,5915,3610,1863,116,1,0,0,0,0,0,1,0,0,4
90938,4975,226,9700,439,3882,136,0,0,0,1,0,0,0,0,1,8
43188,6863,612,8003,2838,1590,109,0,0,0,0,0,0,1,0,0,6
74289,4085,153,1013,2258,1070,105,0,1,1,0,0,0,1,0,0,5
13431,3114,746,9386,3610,3887,92,1,0,0,0,1,1,1,1,0,7
4129,2406,751,7780,2954,2717,106,1,1,0,0,0,0,1,0,1,7
156,95,11,1434,1790,1984,108,1,1,0,1,0,0,0,0,0,7
34395,1302,66,3176,2725,2219,107,0,0,0,0,0,1,0,1,0,7
12793,33794,193,837,564,683,140,0,1,1,0,0,0,0,0,0,8
35004,2997,519,947,3165,1942,113,0,0,0,0,0,0,1,1,0,7
69793,8784,375,3535,3588,4144,102,0,0,0,0,0,0,1,0,1,6
134497,110,349,1365,2321,2681,178,0,1,0,0,0,0,0,0,0,7
98420,1370,314,2539,2807,518,124,1,1,0,1,0,0,0,0,0,6
34576,2539,440,460,1289,3319,103,0,0,0,0,0,0,1,0,0,5
114544,1370,314,2539,2807,518,124,1,1,0,1,0,0,0,0,0,4
68161,597,615,7260,1094,3269,119,0,0,0,0,0,0,1,0,1,2
128893,1370,314,2539,2807,518,124,1,1,0,1,0,0,0,0,0,7
73213,2699,683,564,1040,1774,109,0,0,0,0,0,0,1,0,0,3
59373,5459,29,5964,263,3907,88,0,1,0,0,0,0,1,0,0,5
31712,44191,58,9671,1465,1538,132,0,1,0,1,0,0,0,0,0,8
137037,1233,82,1287,3557,2110,149,0,1,0,0,0,0,0,0,0,9
5768,39,731,1930,130,118,97,0,0,0,0,0,0,1,0,1,3
7201,1729,726,4804,2766,3006,154,0,0,1,1,0,0,0,0,0,9
135090,3108,356,3239,3316,1773,137,0,0,0,0,0,0,1,1,1,5
86456,2617,483,6276,3207,465,124,1,1,0,1,0,0,1,1,0,7
59373,1393,538,4849,439,3882,139,0,0,0,0,0,0,0,0,1,7
130622,2953,140,4242,507,2490,120,0,0,0,0,0,1,1,0,0,1
62779,2023,280,3693,1022,59,162,0,0,1,1,0,0,0,0,0,7
35109,1968,731,1375,1732,1142,97,0,0,0,0,0,0,1,0,0,8
122534,2167,765,1163,3206,4068,120,0,1,0,1,0,0,0,0,0,9
14034,2628,676,8633,1149,1214,136,1,1,0,0,0,0,0,0,0,3
127138,1246,458,2365,2719,3363,128,0,0,0,0,0,0,0,0,0,8
22901,3081,199,8369,3351,1989,105,0,0,0,0,0,0,0,1,1,7
34651,2858,462,395,3043,2232,122,0,0,0,0,0,0,1,0,0,9
6719,4018,801,9939,2477,2681,127,0,0,0,0,0,0,1,0,1,5
79531,1092,249,824,2639,2717,127,0,0,1,1,0,0,0,0,0,7
62925,35836,777,114,1883,3689,116,0,0,0,0,0,0,1,0,1,6
98687,2407,29,1943,2988,1007,117,0,0,0,0,0,0,1,0,0,5
33349,3863,782,1706,3301,1803,107,0,0,0,1,0,0,0,0,0,3
27278,2291,192,2825,3351,1989,105,0,0,0,0,0,0,0,1,1,7
82418,3702,430,5687,1154,2681,88,1,1,0,0,0,0,0,0,0,1
122704,1193,537,6753,2444,1598,133,0,0,0,0,0,0,0,0,0,9
49229,1552,11,2011,3154,2931,115,1,1,0,1,0,0,0,0,0,7
134857,150,677,549,2988,3887,140,1,0,0,0,0,0,0,0,0,5
12644,4262,523,7980,378,59,170,0,1,1,0,0,0,0,0,0,5
77156,541,214,1165,2864,1455,117,0,1,0,1,0,0,0,0,0,5
44384,1380,189,3810,2789,1984,110,0,0,0,0,0,0,1,0,1,7
137746,3753,349,6977,2980,2681,165,0,1,0,0,0,0,0,0,0,5
76437,6,174,4079,2375,59,170,0,1,1,1,0,0,0,0,0,7
66049,910,177,8447,325,2549,121,0,0,1,0,0,0,1,0,0,8
74289,1101,11,9349,3437,3882,109,0,1,0,0,0,0,0,0,1,3
19242,1690,29,327,1546,3614,109,0,1,0,0,0,0,0,0,0,5
16924,733,314,7751,2338,3531,136,1,1,0,1,0,0,0,0,0,4
32861,2671,615,6631,2974,1529,124,0,0,0,0,0,0,1,0,1,6
124163,1912,343,6846,3247,1337,123,0,0,1,1,0,0,1,0,1,7
98597,1784,527,604,1460,1598,139,0,0,0,0,0,0,1,0,1,1
26867,1997,361,3003,3535,1131,122,0,0,0,0,0,0,0,0,0,9
44576,1573,11,3044,1790,1984,138,0,1,1,1,0,0,0,0,0,5
78740,858,280,3691,1022,2582,175,0,0,1,0,0,0,0,0,0,9
91020,2019,176,8118,38,3932,207,1,1,0,0,0,0,0,0,0,9
12158,442,290,2462,2187,3735,115,1,1,0,0,0,0,0,0,0,3
38267,2671,615,6631,2974,1529,124,0,0,0,0,0,0,1,0,1,7
128503,3527,29,7246,1753,277,107,0,1,0,1,0,0,0,0,0,5
48929,150,677,549,2988,3887,140,1,0,0,0,0,0,0,0,0,6
10937,2407,29,1943,2988,1007,117,0,0,0,0,0,0,1,0,0,2
22963,1909,645,10189,2869,889,121,0,1,1,1,0,0,0,0,0,4
63147,5669,775,1322,2382,2736,120,0,0,0,0,0,0,0,0,0,5
76292,3608,590,6995,3351,3074,91,1,0,0,0,0,0,1,0,0,3
60444,924,678,65,3177,2173,149,1,0,0,0,0,0,0,0,0,5
33575,2193,258,10064,2988,3977,126,1,1,0,0,0,0,0,1,0,7
66533,628,713,7275,1234,3269,129,0,0,1,1,0,0,0,0,0,7
87094,3175,633,3516,795,3836,102,1,0,0,0,0,0,1,0,0,4
42929,587,304,3592,1607,3043,127,0,0,0,1,0,0,1,1,1,9
34651,485,48,5219,1753,277,130,1,1,0,0,0,0,1,1,0,5
